FeatureActionID,SamplingFeatureID,Areaoperativa,Entidad,SamplingFeatureCode,SamplingFeatureName,Clase,SamplingFeatureDescription,SamplingFeatureTypeCV,Estado,Departamento,Municipio,Corriente,Latitude,Longitude,Elevation_m,Fecha_instalacion,Fecha_suspension,SamplingFeatureGeotypeCV,FeatureGeometry,ElevationDatumCV,SiteTypeCV,SpatialReferenceID,ActionID
58,58,AREA OPERATIVA 01,IDEAM,11110020,ABRIAQUI ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,ACTIVA,ANTIOQUIA,ABRIAQUÍ,HERRADURA,6.6425,-76.075,1920,15/12/1974,,point,POINTZ(-76.075 6.6425 1920),GEOCOL2004,atmosphere,1,1
62,62,AREA OPERATIVA 01,IDEAM,11110110,BOQUERON DE TOYO ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,ANTIOQUIA,GIRALDO,SUCIO,6.6994444,-75.9775,2000,15/05/1983,10/05/2011 12:00:00 AM,point,POINTZ(-75.9775 6.6994444 2000),GEOCOL2004,atmosphere,1,1
109,109,AREA OPERATIVA 01,IDEAM,12010160,SAN JOSE APARTADO ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,ANTIOQUIA,APARTADÓ,APARTADO,7.8666667,-76.6,100,15/08/1984,15/12/1997,point,POINTZ(-76.6 7.8666667 100),GEOCOL2004,atmosphere,1,1
110,110,AREA OPERATIVA 01,IDEAM,12010170,NUEVO ORIENTE   ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,ACTIVA,ANTIOQUIA,TURBO,TUMARADO,7.4603333,-76.6895556,23,15/03/1991,,point,POINTZ(-76.6895556 7.4603333 23),GEOCOL2004,atmosphere,1,1
111,111,AREA OPERATIVA 01,IDEAM,12010180,CHOROMANDO HDA ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,ANTIOQUIA,TURBO,GRANDE,7.95,-76.5833333,150,15/08/1984,15/10/1997,point,POINTZ(-76.5833333 7.95 150),GEOCOL2004,atmosphere,1,1
134,134,AREA OPERATIVA 01,IDEAM,12020170,PLAYONA LA ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,ANTIOQUIA,TURBO,TURBO,8.1833333,-76.65,150,15/08/1984,15/10/1992,point,POINTZ(-76.65 8.1833333 150),GEOCOL2004,atmosphere,1,1
160,160,AREA OPERATIVA 02,IDEAM,13010050,URRA SANDUBO ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,CÓRDOBA,TIERRALTA,SINU,7.7515,-76.2277778,150,25/03/2009,29/09/2010,point,POINTZ(-76.2277778 7.7515 150),GEOCOL2004,atmosphere,1,1
181,181,AREA OPERATIVA 02,IDEAM,13030030,URRA 1 ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,CÓRDOBA,TIERRALTA,SINU,7.9833333,-76.2333333,78,15/05/1983,15/05/1996,point,POINTZ(-76.2333333 7.9833333 78),GEOCOL2004,atmosphere,1,1
225,225,AREA OPERATIVA 02,IDEAM,13070080,SIGLO EL ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,CÓRDOBA,CIÉNAGA DE ORO,AY VENADO,8.95,-75.5666667,40,15/05/1986,15/02/2002,point,POINTZ(-75.5666667 8.95 40),GEOCOL2004,atmosphere,1,1
230,230,AREA OPERATIVA 02,IDEAM,13070130,CALIFORNIA ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,CÓRDOBA,MONTERÍA,SINU,8.7833333,-75.8333333,13,15/08/1974,15/02/2002,point,POINTZ(-75.8333333 8.7833333 13),GEOCOL2004,atmosphere,1,1
231,231,AREA OPERATIVA 02,IDEAM,13070140,COROZA 1 ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,CÓRDOBA,CERETÉ,SINU,8.8333333,-75.75,9,15/08/1974,15/02/2002,point,POINTZ(-75.75 8.8333333 9),GEOCOL2004,atmosphere,1,1
232,232,AREA OPERATIVA 02,IDEAM,13070150,MOCARI ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,CÓRDOBA,MONTERÍA,SINU,8.8,-75.8666667,14,15/08/1974,15/05/2002,point,POINTZ(-75.8666667 8.8 14),GEOCOL2004,atmosphere,1,1
248,248,AREA OPERATIVA 02,IDEAM,13070310,CHIMA ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,CÓRDOBA,CHIMA,AY AGUAS PRIETAS,9.15,-75.6166667,30,15/11/1965,15/05/1971,point,POINTZ(-75.6166667 9.15 30),GEOCOL2004,atmosphere,1,1
250,250,AREA OPERATIVA 02,IDEAM,13070330,ICOTEAS LAS ,METEOROLOGICA,PLUVIOGRAFICA,weatherStation,SUSPENDIDA,CÓRDOBA,COTORRA,SINU,9.05,-75.7666667,20,15/11/1974,15/02/1977,point,POINTZ(-75.7666667 9.05 20),GEOCOL2004,atmosphere,1,1
