MethodID,MethodTypeCV,MethodCode,MethodName,MethodDescription,MethodLink,OrganizationID
1,Instrument deployment,PG,Pluviográfica,Estación Pluviográfica,,2
2,Instrument deployment,PM,Pluviométrica,Estación Pluviométrica,,2
3,Instrument deployment,CO,Climatológica Ordinaria,Estación Climatológica Ordinaria,,2
4,Instrument deployment,CP,Climatológica Principal,Estación Climatológica Principal,,2
5,Instrument deployment,AM,Agrometeorológica,Estación Agrometeorológica,,2
6,Instrument deployment,ME,Meteorológica Especial,Estación Meteorológica Especial,,2
7,Instrument deployment,MM,Meteorológica Marina,Estación Meteorológica Marina,,2
8,Instrument deployment,SP,Sinópica Principal,Estación Sinópica Principal,,2
9,Instrument deployment,SS,Sinópica Secundaria,Estación Sinópica Secundaria,,2
10,Instrument deployment,LG,Limnigráfica,Estación Limnigráfica,http://documentacion.ideam.gov.co/openbiblio/bvirtual/021172/Protocoloparaelmonitoreoyseguimientodelagua.pdf,2
11,Instrument deployment,LM,Limnimétrica,Estación Limnimétrica,http://documentacion.ideam.gov.co/openbiblio/bvirtual/021172/Protocoloparaelmonitoreoyseguimientodelagua.pdf,2
12,Instrument deployment,RS,Radio Sonda,Estación Radio Sonda,,2
