OrganizationID,OrganizationTypeCV,OrganizationCode,OrganizationName,OrganizationDescription,OrganizationLink,ParentOrganizationID
1,Company,1,INGENEVO,Ingeniería Evolutiva S.A.S,,
2,Government agency,2,IDEAM,"Instituto de Hidrología, Meteorología y Estudios Ambientales de Colombia",http://www.ideam.gov.co/,
3,Government agency,3,IDEAM-SIRH,"Sistema de Información del Recurso Hídrico, SIRH",http://sirh.ideam.gov.co:8230/Sirh/pages/inicio.html,2
4,Government agency,4,IDEAM-DHIME,Sistema de Gestión de Datos Hidrológicos y Metorológicos,http://dhime.ideam.gov.co/portal/home/,2
5,Government agency,5,SIATA,Sistema de Alerta Temprana de Medellín y el Valle de Aburrá,https://siata.gov.co/siata_nuevo/,
6,Government agency,6,IGAC,Instituto Geográfico Agustín Codazzi,https://www.igac.gov.co/,
7,Government agency,7,SGC,Servicio Geológico Colombiano,https://www.sgc.gov.co/,
8,Government agency,8,ANLA,Agencia Nacional de Licencias Ambientales,http://www.anla.gov.co/,
9,Government agency,9,HUMBOLDT,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,http://www.humboldt.org.co/es/,
10,Government agency,10,IIAP,Instituto de Investigaciones Ambientales del Pacífico,https://iiap.org.co/,
11,Government agency,11,INVEMAR,Instituto de Investigaciones Marinas y Costeras,http://www.invemar.org.co/,
12,Government agency,12,MINAMBIENTE,Ministerio de Ambiente y Desarrollo Sostenible,http://www.minambiente.gov.co/,
13,Government agency,13,PNN,Parques Nacionales Naturales de Colombia,http://www.parquesnacionales.gov.co/,
14,Government agency,14,SINCHI,Servicio Geológico Colombiano,https://www.sinchi.org.co/,
15,Government agency,15,UNGRD,Unidad Nacional para la Gestión del Riesgo de Desastres,http://portal.gestiondelriesgo.gov.co/,
16,Government agency,16,AMVA,Área Metropolitana del Valle de Aburrá,https://www.metropol.gov.co/,
17,Government agency,17,CAM,Corporación Autónoma Regional del Alto Magdalena,https://www.cam.gov.co/,
18,Government agency,18,CAR,Corporación Autónoma Regional de Cundinamarca,https://www.car.gov.co/,
19,Government agency,19,CARDER,Corporación Autónoma Regional de Risaralda,http://www.carder.gov.co/,
20,Government agency,20,CARDIQUE,Corporación Autónoma Regional del Canal del Dique,https://cardique.gov.co/,
21,Government agency,21,CARSUCRE,Corporación Autónoma Regional de Sucre,http://carsucre.gov.co/,
22,Government agency,22,CAS,Corporación Autónoma Regional de Santander,http://cas.gov.co/index.php,
23,Government agency,23,CDA,Corporación para el Desarrollo Sostenible del Norte y el Oriente Amazónico,https://cda.gov.co/,
24,Government agency,24,CDMB,Corporación Autónoma Regional para la Defensa de la Meseta de Bucaramanga,http://www.cdmb.gov.co/web/,
25,Government agency,25,CODECHOCO,Corporación Autónoma Regional para el Desarrollo Sostenible del Chocó,http://codechoco.gov.co/portalwp/,
26,Government agency,26,CORALINA,"Corporación para el Desarrollo Sostenible del Archipiélago de San Andrés, Providencia y Santa Catalina",http://www.coralina.gov.co/nuevositio/en/,
27,Government agency,27,CORANTIOQUIA,Corporación Autónoma Regional del Centro de Antioquia,http://www.corantioquia.gov.co/Paginas/Inicio.aspx,
28,Government agency,28,CORMACARENA,Corporación para el Desarrollo Sostenible del Área de Manejo Especial de La Macarena,http://www.cormacarena.gov.co/,
29,Government agency,29,CORNARE,Corporación Autónoma Regional de las Cuencas de los Ríos Negro y Nare,http://www.cornare.gov.co/,
30,Government agency,30,CORPAMAG,Corporación Autónoma Regional del Magdalena,http://www.corpamag.gov.co/index.php/es/,
31,Government agency,31,CORPOAMAZONIA,Corporación para el Desarrollo Sostenible del Sur de la Amazonia,http://www.corpoamazonia.gov.co/,
32,Government agency,32,CORPOBOYACA,Corporación Autónoma Regional de Boyacá,http://www.corpoboyaca.gov.co/,
33,Government agency,33,CORPOCALDAS,Corporación Autónoma Regional de Caldas,http://www.corpocaldas.gov.co/,
34,Government agency,34,CORPOCESAR,Corporación Autónoma Regional del Cesar,http://www.corpocesar.gov.co/,
35,Government agency,35,CORPOCHIVOR,Corporación Autónoma Regional de Chivor,http://www.corpochivor.gov.co/,
36,Government agency,36,CORPOGUAJIRA,Corporación Autónoma Regional de La Guajira,http://corpoguajira.gov.co/wp/,
37,Government agency,37,CORPOGUAVIO,Corporación Autónoma Regional del Guavio,https://www.corpoguavio.gov.co/,
38,Government agency,38,CORPOMOJANA,Corporación para el Desarrollo Sostenible de La Mojana y El San Jorge,http://www.corpomojana.gov.co/web2/,
39,Government agency,39,CORPONARIÑO,Corporación Autónoma Regional de Nariño,http://corponarino.gov.co/,
40,Government agency,40,CORPONOR,Corporación Autónoma Regional de la Frontera Nororiental,http://corponor.gov.co/e/index.php/,
41,Government agency,41,CORPORINOQUIA,Corporación Autónoma Regional de la Orinoquia,http://www.corporinoquia.gov.co/,
42,Government agency,42,CORPOURABA,Corporación para el Desarrollo Sostenible del Urabá,http://corpouraba.gov.co/,
43,Government agency,43,CORTOLIMA,Corporación Autónoma Regional del Tolima,https://www.cortolima.gov.co/,
44,Government agency,44,CRA,Corporación Autónoma Regional del Atlántico,http://www.crautonoma.gov.co/,
45,Government agency,45,CRC,Corporación Autónoma Regional del Cauca,http://www.crc.gov.co/,
46,Government agency,46,CRQ,Corporación Autónoma Regional del Quindío,https://www.crq.gov.co/,
47,Government agency,47,CSB,Corporación Autónoma Regional del Sur de Bolívar,http://www.carcsb.gov.co/,
48,Government agency,48,CVC,Corporación Autónoma Regional del Valle del Cauca,https://www.cvc.gov.co/,
49,Government agency,49,CVS,Corporación Autónoma Regional de los Valles del Sinú y del San Jorge,http://cvs.gov.co/web/,
50,Government agency,50,MINMINAS,Ministerio de Minas y Energía,https://www.minminas.gov.co/,
51,Government agency,51,ANH,Agencia Nacional de Hidrocarburos,http://www.anh.gov.co/,50
