VariableID,VariableTypeCV,VariableCode,VariableNameCV,VariableDefinition,SpeciationCV,NoDataValue
1,Climate,Albedo,Albedo,The ratio of reflected to incident light,Not Applicable,-9999
2,Climate,Altitude,Altitude,Altitude or height,Not Applicable,-9999
3,Hydrology,Area,Area,Basin area,Not Applicable,-9999
4,Climate,BarometricPressure,Barometric pressure,Barometric pressure,Not Applicable,-9999
5,Hydrology,Baseflow,Baseflow,The portion of streamflow (discharge) that is supplied by groundwater sources,Not Applicable,-9999
6,Climate,CloudCover,Cloud cover,The amount of cloud cover at any given location such as a weather station,Not Applicable,-9999
7,Ratio,Density,Density,Density,Not Applicable,-9999
8,Climate,Evaporation,Evaporation,Evaporation,Not Applicable,-9999
9,Climate,EvapotranspirationReal,Evapotranspiration,Evapotranspiration,Not Applicable,-9999
10,Climate,EvapotranspirationPotential,"Evapotranspiration, potential",The amount of water that could be evaporated and transpired if there was sufficient water available,Not Applicable,-9999
11,Hydrology,GageHeight,Gage height,Water level with regard to an arbitrary gage datum,Not Applicable,-9999
12,Climate,GlobalRadiation,Global Radiation,"Solar radiation, direct and diffuse, received from a solid angle of 2p steradians on a horizontal surface. Source: World Meteorological Organization, Meteoterm",Not Applicable,-9999
13,Hydrology,GroundwaterDepth,Groundwater Depth,Groundwater depth is the distance between the water surface and the ground surface at a specific location specified by the site location and offset,Not Applicable,-9999
14,Biota,NDVI,NDVI,Normalized difference vegetation index,Not Applicable,-9999
15,Climate,Precipitation,Precipitation,Precipitation such as rainfall. Should not be confused with settling.,Not Applicable,-9999
16,Climate,Pressure_Gauge,"Pressure, gauge",Pressure relative to the local atmospheric or ambient pressure,Not Applicable,-9999
17,Climate,RainfallRate,Rainfall rate,"A measure of the intensity of rainfall, calculated as the depth of water to fall over a given time period if the intensity were to remain constant over that time interval (in/hr, mm/hr, etc)",Not Applicable,-9999
18,Climate,RelativeHumidity,Relative humidity,Relative humidity,Not Applicable,-9999
19,Hydrology,ReservoirStorage,Reservoir storage,Reservoir water volume,Not Applicable,-9999
20,Hydrology,SedimentSuspended,"Sediment, suspended",Suspended Sediment,Not Applicable,-9999
21,Ratio,Slope,Slope,Ratio between two variables in a linear relationship.,Not Applicable,-9999
22,Climate,SnowDepth,Snow depth,Snow depth,Not Applicable,-9999
23,Climate,SnowWaterEquivalent,Snow water equivalent,"The depth of water if a snow cover is completely melted, expressed in units of depth, on a corresponding horizontal surface area.",Not Applicable,-9999
24,Water quality,SolidsFixedDissolved,"Solids, fixed dissolved",Fixed Dissolved Solids,Not Applicable,-9999
25,Water quality,SolidsFixedSuspended,"Solids, fixed suspended",Fixed Suspended Solids,Not Applicable,-9999
26,Water quality,SolidsTotal,"Solids, total",Total Solids,Not Applicable,-9999
27,Water quality,SolidsTotalDissolved,"Solids, total dissolved",Total Dissolved Solids,Not Applicable,-9999
28,Water quality,SolidsTotalFixed,"Solids, total fixed",Total Fixed Solids,Not Applicable,-9999
29,Water quality,SolidsTotalSuspended,"Solids, total suspended",Total Suspended Solids,Not Applicable,-9999
30,Water quality,SolidsTotalVolatile,"Solids, total volatile",Total Volatile Solids,Not Applicable,-9999
31,Water quality,SolidsVolatileDissolved,"Solids, volatile dissolved",Volatile Dissolved Solids,Not Applicable,-9999
32,Water quality,SolidsVolatileSuspended,"Solids, volatile suspended",Volatile Suspended Solids,Not Applicable,-9999
