UnitsID,UnitsName,UnitsType,UnitsAbbreviation,
1,percent,Dimensionless,%,
2,degree,Angle,deg,1
3,grad,Angle,grad,1
4,radian,Angle,rad,1
5,degree north,Angle,degN,1
6,degree south,Angle,degS,1
7,degree west,Angle,degW,1
8,degree east,Angle,degE,1
9,arcminute,Angle,arcmin,1
10,arcsecond,Angle,arcsec,1
11,steradian,Angle,sr,1
12,acre,Area,ac,1
13,hectare,Area,ha,1
14,square centimeter,Area,cm^2,1
15,square foot,Area,ft^2,1
16,square kilometer,Area,km^2,1
17,square meter,Area,m^2,1
18,square mile,Area,mi^2,1
19,hertz,Frequency,Hz,1
20,darcy,Permeability,D,1
21,british thermal unit,Energy,BTU,1
22,calorie,Energy,cal,1
23,erg,Energy,erg,1
24,foot pound force,Energy,lbf ft,1
25,joule,Energy,J,1
26,kilowatt hour,Energy,kW hr,1
27,electronvolt,Energy,eV,1
28,langleys per day,Energy Flux,Ly/d,1
29,langleys per minute,Energy Flux,Ly/min,1
30,langleys per second,Energy Flux,Ly/s,1
31,megajoules per square meter per day,Energy Flux,MJ/m^2 d,1
32,watts per square centimeter,Energy Flux,W/cm^2,1
33,watts per square meter,Energy Flux,W/m^2,1
34,acre feet per year,Flow,ac ft/yr,1
35,cubic feet per second,Flow,cfs,1
36,cubic meters per second,Flow,m^3/s,1
37,cubic meters per day,Flow,m^3/d,1
38,gallons per minute,Flow,gpm,1
39,liters per second,Flow,L/s,1
40,million gallons per day,Flow,MGD,1
41,dyne,Force,dyn,1
42,kilogram force,Force,kgf,1
43,newton,Force,N,1
44,pound force,Force,lbf,1
45,kilo pound force,Force,kip,1
46,ounce force,Force,ozf,1
47,centimeter ,Length,cm,1
48,international foot,Length,ft,1
49,international inch,Length,in,1
50,international yard,Length,yd,1
51,kilometer,Length,km,1
52,meter,Length,m,1
53,international mile,Length,mi,1
54,millimeter,Length,mm,1
55,micron,Length,um,1
56,angstrom,Length,Å,1
57,femtometer,Length,fm,1
58,nautical mile,Length,nmi,1
59,lumen,Light,lm,1
60,lux,Light,lx,1
61,lambert,Light,La,1
62,stilb,Light,sb,1
63,phot,Light,ph,1
64,langley,Light,Ly,1
65,gram,Mass,g,1
66,kilogram,Mass,kg,1
67,milligram,Mass,mg,1
68,microgram,Mass,ug,1
