Term,Definition
"1,1,1-Trichloroethane","1,1,1-Trichloroethane (C2H3Cl3)"
"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane (C2H2Cl4)"
"1,1,2-Trichloroethane","1,1,2-Trichloroethane (C2H3Cl3)"
"1,1-Dichloroethane","1,1-Dichloroethane (C2H4Cl2)"
"1,1-Dichloroethene","1,1-Dichloroethene (C2H2Cl2)"
"1,2,3-Trimethylbenzene","1,2,3-Trimethylbenzene (C9H12)"
"1,2,4,5-tetrachlorobenzene","1,2,4,5-tetrachlorobenzene (C6H2Cl4)"
"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene (C6H3Cl3)"
"1,2,4-Trimethylbenzene","1,2,4-Trimethylbenzene"
"1,2-Dibromo-3-chloropropane","1,2-Dibromo-3-chloropropane (C3H5Br2Cl)"
"1,2-Dichlorobenzene","1,2-Dichlorobenzene (C6H4Cl2)"
"1,2-Dichloroethane","1,2-Dichloroethane (C2H4Cl2)"
"1,2-Dichloropropane","1,2-Dichloropropane (C3H6Cl2)"
"1,2-Dimethylnaphthalene","1,2-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,2-Dinitrobenzene","1,2-Dinitrobenzene (C6H4N2O4)"
"1,2-Diphenylhydrazine","1,2-Diphenylhydrazine (C12H12N2)"
"1,3,5-Trimethylbenzene","1,3,5-Trimethylbenzene (C6H3(CH3)3)"
"1,3-Dichlorobenzene","1,3-Dichlorobenzene (C6H4Cl2)"
"1,3-Dimethyladamantane","1,3-Dimethyladamantane (C12H20)."
"1,3-Dimethylnaphthalene","1,3-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,3-Dinitrobenzene","1,3-Dinitrobenzene (C6H4N2O4)"
"1,4,5,8-Tetramethylnaphthalene","1,4,5,8-Tetramethylnaphthalene (C14H16), a polycyclic aromatic hydrocarbon (PAH)"
"1,4,5-Trimethylnaphthalene","1,4,5-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)"
"1,4,6-Trimethylnaphthalene","1,4,6-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)"
"1,4-Dichlorobenzene","1,4-Dichlorobenzene (C6H4Cl2)"
"1,4-Dimethylnaphthalene","1,4-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,4-Dinitrobenzene","1,4-Dinitrobenzene (C6H4N2O4)"
"1,5-Dimethylnaphthalene","1,5-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
