ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1,11017010,AGUASAL ,LM,HID,CON,ACT,CHOCÓ,LLORÓ,5.4736111,-76.53775,15/05/1976,
2,11027010,PTE LAS SANCHEZ  ,LM,HID,CON,SUS,CHOCÓ,EL CARMEN,5.8519722,-76.180806,15/08/1972,6/1/2016
3,11027020,OCHO EL ,LM,HID,CON,SUS,CHOCÓ,EL CARMEN,5.85,-76.25,15/04/1972,15/02/1979
4,11027030,SIETE EL ,LG,HID,CON,ACT,CHOCÓ,EL CARMEN,5.862,-76.152056,15/12/1979,
5,11027040,ARRAYANES LOS ,LG,HID,CON,SUS,CHOCÓ,EL CARMEN,5.8,-76.3,15/12/1979,10/12/2008
6,11027050,GINDRAMA ,LG,HID,CON,ACT,CHOCÓ,LLORÓ,5.5215556,-76.517722,15/12/1979,
7,11027060,PINON EL ,LM,HID,CON,SUS,CHOCÓ,EL CARMEN,5.7333333,-76.366667,15/03/1959,15/11/1971
8,11027070,BORAUDO AUTOM   ,LG,HID,AUS,SUS,CHOCÓ,LLORÓ,5.5146111,-76.575694,15/04/2005,5/1/2016
9,11037010,SAN ISIDRO ,LM,HID,CON,SUS,CHOCÓ,RIO QUITO (Paimadó),5.62625,-76.749722,15/05/1967,21/09/2005
10,11037020,PTE CERTEGUI   ,LG,HID,CON,ACT,CHOCÓ,CÉRTEGUI,5.37475,-76.61325,15/06/1971,
11,11047010,BELEN    ,LG,HID,CON,ACT,CHOCÓ,QUIBDÓ,5.7648333,-76.669667,15/12/1965,
12,11047020,QUIBDO AUTOM   ,LM,HID,AUT,SUS,CHOCÓ,QUIBDÓ,5.6892778,-76.662083,15/05/1974,20/09/2013
13,11047030,NEGUA ,LM,HID,CON,ACT,CHOCÓ,QUIBDÓ,5.8303056,-76.619194,15/05/1975,
14,11057010,TAGACHI ,LM,HID,CON,SUS,CHOCÓ,QUIBDÓ,6.2166667,-76.716667,15/04/1966,15/02/2002
15,11057020,SAN ANTONIO PADUA ,LM,HID,CON,ACT,ANTIOQUIA,VIGIA DEL FUERTE,6.2866667,-76.761806,15/05/1973,
16,11077010,BELLAVISTA    ,LM,HID,CON,ACT,CHOCÓ,BOJAYÁ (Bellavista),6.5588056,-76.884472,15/05/1966,
17,11077020,MAGDALENA LA ,LG,HID,CON,ACT,ANTIOQUIA,URRAO,6.2983611,-76.134472,15/09/1972,
18,11077030,PLAYA LA ,LM,HID,CON,SUS,ANTIOQUIA,VIGIA DEL FUERTE,6.6166667,-76.75,15/09/1975,15/02/2002
19,11107010,DOMINGODO    ,LM,HID,CON,ACT,CHOCÓ,CARMEN DEL DARIÉN  ,7.1785,-77.034722,15/11/1966,
20,11117010,ANIL EL   ,LG,HID,AUS,ACT,ANTIOQUIA,URAMITA,6.8738889,-76.149583,15/03/1972,
21,11117020,DABEIBA 1 ,LM,HID,CON,SUS,ANTIOQUIA,DABEIBA,7.0166667,-76.266667,15/09/1972,15/02/1979
22,11117030,TASCON ,LG,HID,CON,SUS,ANTIOQUIA,DABEIBA,7.0833333,-76.416667,15/10/1976,15/11/2004
23,11117040,MUTATA ,LG,HID,CON,ACT,ANTIOQUIA,MUTATÁ,7.2294444,-76.438056,15/10/1976,
24,11117050,DABEIBA 2   ,LM,HID,CON,ACT,ANTIOQUIA,DABEIBA,7.0043889,-76.266389,15/09/1976,
25,11127010,NUEVA LA ,LM,HID,CON,SUS,CHOCÓ,RIOSUCIO,7.3166667,-77.166667,15/03/1977,15/09/1989
26,11147010,RIOSUCIO    ,LM,HID,CON,ACT,CHOCÓ,RIOSUCIO,7.4428333,-77.12125,15/12/1965,
27,11147020,BAJIRA    ,LG,HID,AUS,ACT,CHOCÓ,RIOSUCIO,7.3684444,-76.727278,15/09/1990,
28,11147030,PRIMAVERA ,LM,HID,CON,SUS,ANTIOQUIA,MUTATÁ,7.35,-76.633333,15/03/1991,15/02/1997
29,12017010,CHIGORODO    ,LM,HID,CON,ACT,ANTIOQUIA,CHIGORODÓ,7.6730556,-76.683917,15/10/1976,
30,12017020,BARRANQUILLITA    ,LM,HID,CON,ACT,ANTIOQUIA,CHIGORODÓ,7.5715833,-76.710556,15/03/1977,
31,12017030,VICTORIA LA ,LM,HID,CON,SUS,ANTIOQUIA,APARTADÓ,7.8166667,-76.683333,15/03/1977,15/05/1996
32,12017040,RIOGRANDE ,LM,HID,CON,ACT,ANTIOQUIA,TURBO,7.9278333,-76.621111,15/07/1977,
33,12017050,PTE CARRETERA ,LM,HID,CON,SUS,ANTIOQUIA,APARTADÓ,7.8238889,-76.648056,15/03/1977,10/5/2011
34,12017060,APARTADO ,LM,HID,CON,SUS,ANTIOQUIA,APARTADÓ,7.87575,-76.622583,15/03/1977,10/3/2013
35,12017070,CERRAZON LA   ,LG,HID,AUS,ACT,ANTIOQUIA,CHIGORODÓ,7.7208611,-76.576361,15/09/1986,
36,12017080,CAREPA ,LM,HID,CON,SUS,ANTIOQUIA,CAREPA,7.7633611,-76.65825,15/03/1977,1/10/2011
37,12017100,VILLARTEAGA    ,LG,HID,AUS,ACT,ANTIOQUIA,MUTATÁ,7.4132222,-76.599611,15/09/1990,
38,12027010,PUEBLO BELLO   ,LM,HID,CON,ACT,ANTIOQUIA,TURBO,8.2040556,-76.524667,15/08/1977,
39,12027030,TRES EL ,LM,HID,CON,SUS,ANTIOQUIA,TURBO,8.0650278,-76.65775,15/02/1977,10/5/2011
40,12027040,CURRULAO ,LM,HID,CON,SUS,ANTIOQUIA,TURBO,7.9944167,-76.63175,15/09/1977,10/5/2011
41,12027050,PUEBLO NUEVO   ,LM,HID,CON,ACT,ANTIOQUIA,NECOCLÍ,8.4150556,-76.629389,15/08/1978,
42,12027060,DOS EL ,LM,HID,CON,SUS,ANTIOQUIA,TURBO,8.1265,-76.693833,15/08/1984,18/08/2011
43,12037010,CANDELARIA LA ,LG,HID,CON,ACT,ANTIOQUIA,ARBOLETES,8.6597222,-76.445833,15/06/1977,
44,12037020,LAJA LA HDA ,LM,HID,CON,SUS,ANTIOQUIA,SAN JUAN DE URABÁ,8.7166667,-76.483333,15/05/1977,15/04/1995
45,12037030,CARMELO EL   ,LG,HID,CON,ACT,ANTIOQUIA,ARBOLETES,8.6172222,-76.385278,15/05/1977,
46,12037050,SAN PEDRO ,LM,HID,CON,SUS,ANTIOQUIA,SAN PEDRO DE URABÁ,8.2778056,-76.391306,15/06/1980,20/10/2010
47,12047010,CANALETE ,LM,HID,CON,ACT,CÓRDOBA,CANALETE,8.7869722,-76.236417,15/09/1987,
48,13017010,DESPENSA LA ,LG,HID,CON,SUS,CÓRDOBA,TIERRALTA,7.8666667,-76.283333,15/10/1965,15/12/1998
49,13017020,LIMON EL ,LG,HID,CON,SUS,CÓRDOBA,TIERRALTA,7.8333333,-76.266667,15/03/1966,15/03/1999
50,13017030,SALTO VIEJO ,LG,HID,CON,SUS,CÓRDOBA,TIERRALTA,7.7833333,-76.233333,15/03/1974,15/12/1988
51,13017040,SAN CONALITO ,LM,HID,CON,SUS,CÓRDOBA,TIERRALTA,7.6833333,-76.116667,15/06/1990,15/12/1998
52,13017050,URRA SANDUBO ,LG,HID,AUT,SUS,CÓRDOBA,TIERRALTA,7.7515,-76.227778,25/03/2009,29/09/2010
53,13027010,ESMERALDA LA ,LM,HID,CON,SUS,CÓRDOBA,TIERRALTA,7.75,-76.25,15/06/1990,15/12/2001
54,13027020,PTO MANGO ,LM,HID,CON,SUS,CÓRDOBA,TIERRALTA,7.6166667,-76.3,15/06/1990,15/05/1994
55,13027030,CANAFINA ,LM,HID,CON,SUS,CÓRDOBA,TIERRALTA,7.85,-76.316667,15/06/1990,15/12/1998
56,13037010,ANGOSTURA DE URRA ,LG,HID,CON,SUS,CÓRDOBA,TIERRALTA,8,-76.25,15/08/1959,15/12/1998
57,13037020,PALOMAS LAS ,LM,HID,CON,SUS,CÓRDOBA,MONTERÍA,8.45,-76.016667,15/08/1964,15/01/1991
58,13037030,PTO SALGAR AUTOMATICA,LM,HID,AUT,SUS,CÓRDOBA,TIERRALTA,8.1,-76.1,15/04/1966,15/05/1978
59,13037040,CARRIZOLA AUTOM   ,LM,HID,CON,ACT,CÓRDOBA,TIERRALTA,8.1608333,-76.095556,15/06/1990,
60,13047010,RUSIA ,LM,HID,CON,SUS,CÓRDOBA,VALENCIA,8.2833333,-76.266667,15/11/1989,15/01/1991
61,13047020,NUBES LAS ,LM,HID,CON,SUS,CÓRDOBA,VALENCIA,8.3166667,-76.1,15/11/1989,15/01/1991
62,13047030,TIERRALTA ,LG,HID,CON,SUS,CÓRDOBA,TIERRALTA,8.1870556,-76.064611,15/06/1990,18/09/2011
63,13047040,TORO EL ,LM,HID,CON,SUS,CÓRDOBA,TIERRALTA,8.1134833,-76.127936,15/06/1990,18/06/2014
64,13047050,PASACABALLOS ,LG,HID,CON,SUS,CÓRDOBA,TIERRALTA,8.05,-76.2,15/06/1990,15/09/2005
65,13057010,NUEVA COLOMBIA   ,LG,HID,CON,ACT,CÓRDOBA,MONTERÍA,8.4994444,-75.978611,15/06/1990,
66,13067010,TRES PIEDRAS ,LM,HID,CON,SUS,CÓRDOBA,MONTERÍA,8.4895,-75.953167,15/05/1979,21/09/2011
67,13067030,STA HELENA ,LM,HID,CON,SUS,CÓRDOBA,MONTERÍA,8.5654,-75.965908,15/03/1963,28/08/2014
68,13067040,MARACAYO    ,LM,HID,CON,ACT,CÓRDOBA,MONTERÍA,8.4102778,-75.895,15/08/1964,
69,13067050,TRES PALMAS ,LM,HID,CON,SUS,CÓRDOBA,MONTERÍA,8.5055556,-75.952222,15/09/1979,18/06/2014
70,13067060,JUNQUILLO ,LM,HID,CON,SUS,CÓRDOBA,MONTERÍA,8.4079722,-75.912083,15/05/1979,18/06/2014
71,13067070,PTE EL ,LM,HID,CON,SUS,CÓRDOBA,MONTERÍA,8.4333333,-75.95,15/05/1979,15/05/1985
72,13067080,BETANCI ,LM,HID,CON,ACT,CÓRDOBA,MONTERÍA,8.5040278,-75.963694,15/11/1990,
73,13070020,MOMIL    ,LM,HID,CON,ACT,CÓRDOBA,MOMIL,9.2344444,-75.688056,15/10/1973,
74,13077010,SABANA NUEVA   ,LM,HID,CON,ACT,CÓRDOBA,SAN PELAYO,9.0322222,-75.845833,15/02/1963,
75,13077030,PALMA CENTRAL ,LM,HID,CON,SUS,CÓRDOBA,LORICA,9.1956111,-75.818194,15/06/1953,9/9/2011
76,13077040,LA DOCTRINA,LM,HID,CON,ACT,CÓRDOBA,LORICA,9.2972222,-75.892778,15/06/1963,
77,13077050,EL BONGO ,LM,HID,CON,SUS,CÓRDOBA,SAN PELAYO,8.9375833,-75.856417,15/09/1963,11/9/2011
