ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1,11010010,VUELTA LA ,PM,MET,CON,ACT,CHOCÓ,LLORÓ,5.4588611,-76.545,15/01/1943,
2,11020010,CARMEN DE ATRATO ,PM,MET,CON,ACT,CHOCÓ,EL CARMEN,5.9085278,-76.142083,15/10/1958,
3,11020020,GUADUAS ,PM,MET,CON,SUS,CHOCÓ,EL CARMEN,5.7666667,-76.183333,15/03/1977,15/04/2002
4,11020050,PINON EL   ,PM,MET,CON,ACT,CHOCÓ,EL CARMEN,5.7576667,-76.250861,15/10/1958,
5,11025010,MANSA LA   ,CO,MET,CON,ACT,ANTIOQUIA,CIUDAD BOLÍVAR,5.8783056,-76.084333,15/07/1973,
6,11030010,CERTEGUI    ,PM,MET,CON,ACT,CHOCÓ,CÉRTEGUI,5.3750278,-76.613111,15/01/1967,
7,11030030,MANAGRU    ,PM,MET,CON,ACT,CHOCÓ,EL CANTÓN DEL SAN ,5.3341667,-76.728139,15/02/1977,
8,11030040,PAIMADO ,PM,MET,CON,ACT,CHOCÓ,RIO QUITO (Paimadó),5.4816111,-76.740861,15/02/1977,
9,11035010,LLORO    ,CO,MET,CON,ACT,CHOCÓ,LLORÓ,5.499,-76.538056,15/03/1983,
10,11035020,SAN ISIDRO   ,PM,MET,CON,ACT,CHOCÓ,RIO QUITO (Paimadó),5.6261667,-76.749722,15/03/1983,
11,11037030,LA LOMA PUEBLO ,HA,HMT,AUT,ACT,CHOCÓ,RIO QUITO (Paimadó),5.5846667,-76.753278,15/04/2005,
12,11040010,TUTUNENDO ,PM,MET,CON,ACT,CHOCÓ,QUIBDÓ,5.7436111,-76.537806,15/01/1966,
13,11045010,APTO EL CARANO  ,SP,MET,CON,ACT,CHOCÓ,QUIBDÓ,5.6905556,-76.643778,15/02/1947,
14,11045030,HUAPANGO ,CO,MET,CON,SUS,CHOCÓ,QUIBDÓ,5.7,-76.633333,15/07/1966,15/11/1972
15,11047040,QUIBDO AUTOMATICA ,HA,HMT,AUT,SUS,CHOCÓ,QUIBDÓ,5.6979917,-76.662258,30/11/2008,18/06/2014
16,11050010,TAGACHI ,PM,MET,CON,ACT,CHOCÓ,QUIBDÓ,6.2217778,-76.727028,15/01/1966,
17,11050020,BETE  ,PM,MET,CON,ACT,CHOCÓ,MEDIO ATRATO (Beté),5.9947222,-76.780028,15/02/1977,
18,11050030,BUEY EL  ,PM,MET,CON,ACT,CHOCÓ,MEDIO ATRATO (Beté),6.1025,-76.821361,15/02/1977,
19,11050040,CALAORRA ,PM,MET,CON,SUS,CHOCÓ,QUIBDÓ,5.7666667,-76.85,15/02/1977,15/03/1994
20,11050060,ALTO DEL BUEY ,PM,MET,CON,ACT,CHOCÓ,MEDIO ATRATO (Beté),6.1083333,-76.915639,15/02/1977,
21,11060010,BUCHADO ,PM,MET,CON,ACT,ANTIOQUIA,VIGIA DEL FUERTE,6.42,-76.779278,15/01/1969,
22,11070010,PLAYA LA-MURRY ,PM,MET,CON,SUS,ANTIOQUIA,VIGIA DEL FUERTE,6.6166667,-76.75,15/12/1966,15/02/2002
23,11070020,ROBLE EL ,PM,MET,CON,ACT,ANTIOQUIA,URRAO,6.3322222,-76.228611,15/03/1977,
24,11070030,CLARITA LA ,PM,MET,CON,ACT,ANTIOQUIA,URRAO,6.5394444,-76.158611,15/03/1977,
25,11070040,URRAO ,PM,MET,CON,SUS,ANTIOQUIA,URRAO,6.3333333,-76.166667,15/01/1969,15/07/1973
26,11070130,BRECHON EL ,PM,MET,CON,SUS,ANTIOQUIA,URRAO,6.1333333,-76.033333,15/10/1970,15/01/2000
27,11075010,HONDA LA ,CO,MET,CON,SUS,ANTIOQUIA,URRAO,6.3563889,-76.158056,15/07/1990,10/5/2011
28,11075020,URRAO    ,CO,MET,CON,SUS,ANTIOQUIA,URRAO,6.3249444,-76.139833,15/06/1973,6/1/2016
