ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1,11010010,VUELTA LA ,PM,MET,CON,ACT,CHOCÓ,LLORÓ,5.4588611,-76.545,15/01/1943,
2,11017010,AGUASAL ,LM,HID,CON,ACT,CHOCÓ,LLORÓ,5.4736111,-76.53775,15/05/1976,
3,11020010,CARMEN DE ATRATO ,PM,MET,CON,ACT,CHOCÓ,EL CARMEN,5.9085278,-76.142083,15/10/1958,
4,11020020,GUADUAS ,PM,MET,CON,SUS,CHOCÓ,EL CARMEN,5.7666667,-76.183333,15/03/1977,15/04/2002
5,11020050,PINON EL   ,PM,MET,CON,ACT,CHOCÓ,EL CARMEN,5.7576667,-76.250861,15/10/1958,
6,11025010,MANSA LA   ,CO,MET,CON,ACT,ANTIOQUIA,CIUDAD BOLÍVAR,5.8783056,-76.084333,15/07/1973,
7,11027010,PTE LAS SANCHEZ  ,LM,HID,CON,SUS,CHOCÓ,EL CARMEN,5.8519722,-76.180806,15/08/1972,6/1/2016
8,11027020,OCHO EL ,LM,HID,CON,SUS,CHOCÓ,EL CARMEN,5.85,-76.25,15/04/1972,15/02/1979
9,11027030,SIETE EL ,LG,HID,CON,ACT,CHOCÓ,EL CARMEN,5.862,-76.152056,15/12/1979,
10,11027040,ARRAYANES LOS ,LG,HID,CON,SUS,CHOCÓ,EL CARMEN,5.8,-76.3,15/12/1979,10/12/2008
11,11027050,GINDRAMA ,LG,HID,CON,ACT,CHOCÓ,LLORÓ,5.5215556,-76.517722,15/12/1979,
12,11027060,PINON EL ,LM,HID,CON,SUS,CHOCÓ,EL CARMEN,5.7333333,-76.366667,15/03/1959,15/11/1971
13,11027070,BORAUDO AUTOM   ,LG,HID,AUS,SUS,CHOCÓ,LLORÓ,5.5146111,-76.575694,15/04/2005,5/1/2016
14,11030040,PAIMADO ,PM,MET,CON,ACT,CHOCÓ,RIO QUITO (Paimadó),5.4816111,-76.740861,15/02/1977,
15,11035010,LLORO    ,CO,MET,CON,ACT,CHOCÓ,LLORÓ,5.499,-76.538056,15/03/1983,
16,11035020,SAN ISIDRO   ,PM,MET,CON,ACT,CHOCÓ,RIO QUITO (Paimadó),5.6261667,-76.749722,15/03/1983,
17,11037010,SAN ISIDRO ,LM,HID,CON,SUS,CHOCÓ,RIO QUITO (Paimadó),5.62625,-76.749722,15/05/1967,21/09/2005
18,11037030,LA LOMA PUEBLO ,HA,HMT,AUT,ACT,CHOCÓ,RIO QUITO (Paimadó),5.5846667,-76.753278,15/04/2005,
19,11040010,TUTUNENDO ,PM,MET,CON,ACT,CHOCÓ,QUIBDÓ,5.7436111,-76.537806,15/01/1966,
20,11045010,APTO EL CARANO  ,SP,MET,CON,ACT,CHOCÓ,QUIBDÓ,5.6905556,-76.643778,15/02/1947,
21,11045030,HUAPANGO ,CO,MET,CON,SUS,CHOCÓ,QUIBDÓ,5.7,-76.633333,15/07/1966,15/11/1972
22,11047010,BELEN    ,LG,HID,CON,ACT,CHOCÓ,QUIBDÓ,5.7648333,-76.669667,15/12/1965,
23,11047020,QUIBDO AUTOM   ,LM,HID,AUT,SUS,CHOCÓ,QUIBDÓ,5.6892778,-76.662083,15/05/1974,20/09/2013
24,11047030,NEGUA ,LM,HID,CON,ACT,CHOCÓ,QUIBDÓ,5.8303056,-76.619194,15/05/1975,
25,11047040,QUIBDO AUTOMATICA ,HA,HMT,AUT,SUS,CHOCÓ,QUIBDÓ,5.6979917,-76.662258,30/11/2008,18/06/2014
26,11050010,TAGACHI ,PM,MET,CON,ACT,CHOCÓ,QUIBDÓ,6.2217778,-76.727028,15/01/1966,
27,11050020,BETE  ,PM,MET,CON,ACT,CHOCÓ,MEDIO ATRATO (Beté),5.9947222,-76.780028,15/02/1977,
28,11050030,BUEY EL  ,PM,MET,CON,ACT,CHOCÓ,MEDIO ATRATO (Beté),6.1025,-76.821361,15/02/1977,
29,11050040,CALAORRA ,PM,MET,CON,SUS,CHOCÓ,QUIBDÓ,5.7666667,-76.85,15/02/1977,15/03/1994
30,11050060,ALTO DEL BUEY ,PM,MET,CON,ACT,CHOCÓ,MEDIO ATRATO (Beté),6.1083333,-76.915639,15/02/1977,
31,11057010,TAGACHI ,LM,HID,CON,SUS,CHOCÓ,QUIBDÓ,6.2166667,-76.716667,15/04/1966,15/02/2002
32,11057020,SAN ANTONIO PADUA ,LM,HID,CON,ACT,ANTIOQUIA,VIGIA DEL FUERTE,6.2866667,-76.761806,15/05/1973,
33,11060010,BUCHADO ,PM,MET,CON,ACT,ANTIOQUIA,VIGIA DEL FUERTE,6.42,-76.779278,15/01/1969,
34,11070010,PLAYA LA-MURRY ,PM,MET,CON,SUS,ANTIOQUIA,VIGIA DEL FUERTE,6.6166667,-76.75,15/12/1966,15/02/2002
35,11070020,ROBLE EL ,PM,MET,CON,ACT,ANTIOQUIA,URRAO,6.3322222,-76.228611,15/03/1977,
36,11070030,CLARITA LA ,PM,MET,CON,ACT,ANTIOQUIA,URRAO,6.5394444,-76.158611,15/03/1977,
37,11070040,URRAO ,PM,MET,CON,SUS,ANTIOQUIA,URRAO,6.3333333,-76.166667,15/01/1969,15/07/1973
38,11070130,BRECHON EL ,PM,MET,CON,SUS,ANTIOQUIA,URRAO,6.1333333,-76.033333,15/10/1970,15/01/2000
39,11075010,HONDA LA ,CO,MET,CON,SUS,ANTIOQUIA,URRAO,6.3563889,-76.158056,15/07/1990,10/5/2011
40,11075020,URRAO    ,CO,MET,CON,SUS,ANTIOQUIA,URRAO,6.3249444,-76.139833,15/06/1973,6/1/2016
41,11077010,BELLAVISTA    ,LM,HID,CON,ACT,CHOCÓ,BOJAYÁ (Bellavista),6.5588056,-76.884472,15/05/1966,
42,11077020,MAGDALENA LA ,LG,HID,CON,ACT,ANTIOQUIA,URRAO,6.2983611,-76.134472,15/09/1972,
