ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,FGDA,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1,11010020,AGRICOLA LLORO GJA ,PM,MET,CON,SUS,MINAG,CHOCÓ,LLORÓ,5.5000000,-76.5333330,15/01/1952,15/10/1959
2,11020060,CARMEN EL ,PM,MET,CON,SUS,MINAG,CHOCÓ,EL CARMEN,5.8333333,-76.6666670,15/01/1932,15/12/1961
3,11025501,CARMEN DE ATRATO,CP,MET,AUT,ACT,CENICAFE,CHOCÓ,EL CARMEN,5.8887194,-76.1451670,,
4,11030050,QUIBDO ,PM,MET,CON,SUS,MOP,CHOCÓ,QUIBDÓ,5.6833333,-76.6833330,15/01/1950,15/07/1952
5,11030060,INST DEL CHOCO ,PM,MET,CON,SUS,MINEC,CHOCÓ,QUIBDÓ,5.6833333,-76.6666670,15/06/1931,15/12/1955
6,11060020,POCITOS ,PG,MET,CON,SUS,EEPP,ANTIOQUIA,URRAO,6.2333333,-76.3333330,15/04/1990,15/04/1993
7,11060030,CAMPO BONITO ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,VIGIA DEL FUERTE,6.2166667,-76.4833330,15/08/1989,
8,11067010,CAMPO BONITO RP 11 ,LG,HID,CON,ACT,EEPP,ANTIOQUIA,VIGIA DEL FUERTE,6.2000000,-76.4833330,15/08/1989,
9,11070050,URRAO ,PM,MET,CON,SUS,ICEL,ANTIOQUIA,URRAO,6.3333333,-76.1666670,15/03/1959,15/12/1969
10,11070060,CARAUTICA ,PG,MET,CON,SUS,EEPP,ANTIOQUIA,FRONTINO,6.6166667,-76.2000000,15/03/1978,15/01/1980
11,11070070,CRUCES ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.4833333,-76.3500000,15/03/1978,
12,11070080,MANDE ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.4333333,-76.4500000,15/03/1978,
13,11070090,STA BARBARA ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.4000000,-76.0666670,15/03/1978,
14,11070100,SIRENO EL ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.3833333,-76.2333330,15/03/1978,
15,11070110,NENDO ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.3333333,-76.3166670,15/03/1978,
16,11070120,PABON ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.1500000,-76.1333330,15/03/1978,
17,11070140,CHAQUENODA ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,FRONTINO,6.6166667,-76.4166670,15/05/1980,
18,11070150,PALMERA LA ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.4166667,-76.5000000,15/07/1980,
19,11070160,PANTANOGRANDE ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,FRONTINO,6.7000000,-76.4666670,15/03/1978,
20,11070170,SAN JOSE ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.2500000,-76.1500000,15/07/1986,
21,11070180,MURRI ,PG,MET,CON,ACT,EEPP,ANTIOQUIA,FRONTINO,6.7333333,-76.3500000,15/03/1978,
22,11075030,FUEMIA ,CO,MET,CON,SUS,EEPP,ANTIOQUIA,URRAO,6.5666667,-76.5833330,15/04/1978,15/06/1980
23,11075040,CURBATA ,CP,MET,CON,SUS,EEPP,ANTIOQUIA,FRONTINO,6.6000000,-76.5166670,15/03/1976,15/07/1989
24,11077040,RP-1 ,LG,HID,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.3500000,-76.1500000,15/04/1977,
25,11077050,ENCARNACION RP-2 ,LG,HID,CON,ACT,EEPP,ANTIOQUIA,URRAO,6.4333333,-76.1500000,15/02/1977,
26,11077060,CALLE MANSA RP 3 ,LG,HID,CON,SUS,EEPP,ANTIOQUIA,FRONTINO,6.5500000,-76.5333330,15/03/1978,15/05/1993
27,11077070,CURBATA RP 4 ,LG,HID,CON,ACT,EEPP,ANTIOQUIA,FRONTINO,6.6000000,-76.5166670,15/04/1992,
28,11077080,CHAQUENODA RP-5 ,LG,HID,CON,SUS,EEPP,ANTIOQUIA,FRONTINO,6.6333333,-76.4333330,15/05/1980,15/12/1993
29,11077090,JENGAMECODA RP-6 ,LG,HID,CON,SUS,EEPP,ANTIOQUIA,FRONTINO,6.6000000,-76.4000000,15/05/1980,15/11/1989
30,11077100,NENDO RP-7 ,LG,HID,CON,SUS,EEPP,ANTIOQUIA,URRAO,6.3333333,-76.3333330,15/06/1980,15/12/1992
